ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,tract_id
10000092,HY189866,03/18/2015 07:44:00 PM,047XX W OHIO ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,1111,11,28,25,04B,1144606.0,1903566.0,2015,02/10/2018 03:50:01 PM,41.891398861,-87.74438456700001,"(41.891398861, -87.744384567)",1400000US1703117031251700
10000094,HY190059,03/18/2015 11:00:00 PM,066XX S MARSHFIELD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,725,7,15,67,26,1166468.0,1860715.0,2015,02/10/2018 03:50:01 PM,41.773371528,-87.66531946799999,"(41.773371528, -87.665319468)",1400000US1703117031671500
10000095,HY190052,03/18/2015 10:45:00 PM,044XX S LAKE PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,222,2,4,39,08B,1185075.0,1875622.0,2015,02/10/2018 03:50:01 PM,41.81386068,-87.596642837,"(41.81386068, -87.596642837)",1400000US1703117031390100
10000096,HY190054,03/18/2015 10:30:00 PM,051XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,225,2,3,40,08B,1178033.0,1870804.0,2015,02/10/2018 03:50:01 PM,41.800802415,-87.622619343,"(41.800802415, -87.622619343)",1400000US1703117031836100
10000097,HY189976,03/18/2015 09:00:00 PM,047XX W ADAMS ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1113,11,28,25,03,1144920.0,1898709.0,2015,02/10/2018 03:50:01 PM,41.878064761,-87.74335401299999,"(41.878064761, -87.743354013)",1400000US1703117031252202
10000098,HY190032,03/18/2015 10:00:00 PM,049XX S DREXEL BLVD,0460,BATTERY,SIMPLE,APARTMENT,False,False,223,2,4,39,08B,1183018.0,1872537.0,2015,02/10/2018 03:50:01 PM,41.805443345,-87.604283976,"(41.805443345, -87.604283976)",1400000US1703117031390400
10000099,HY190047,03/18/2015 11:00:00 PM,070XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,733,7,17,68,08B,1170859.0,1858210.0,2015,02/10/2018 03:50:01 PM,41.766402779,-87.649296123,"(41.766402779, -87.649296123)",1400000US1703117031681100
10000100,HY189988,03/18/2015 09:35:00 PM,042XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,213,2,3,38,08B,1178746.0,1876914.0,2015,02/10/2018 03:50:01 PM,41.817552577,-87.61981852299999,"(41.817552577, -87.619818523)",1400000US1703117031835900
10000101,HY190020,03/18/2015 10:09:00 PM,036XX S WOLCOTT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,912,9,11,59,18,1164279.0,1880656.0,2015,02/10/2018 03:50:01 PM,41.828138428,-87.672782106,"(41.828138428, -87.672782106)",1400000US1703117031590600
10000104,HY189964,03/18/2015 09:25:00 PM,097XX S PRAIRIE AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,511,5,6,49,08B,1179637.0,1840444.0,2015,02/10/2018 03:50:01 PM,41.71745472,-87.617663257,"(41.71745472, -87.617663257)",1400000US1703117031490500
10000105,HY189984,03/18/2015 09:30:00 PM,130XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,533,5,9,54,14,1180907.0,1818839.0,2015,02/10/2018 03:50:01 PM,41.658138493,-87.613672862,"(41.658138493, -87.613672862)",1400000US1703117031540102
10000108,HY189719,03/15/2015 04:10:00 PM,078XX S VINCENNES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CTA GARAGE / OTHER PROPERTY,False,True,623,6,17,69,26,1175130.0,1853144.0,2015,02/10/2018 03:50:01 PM,41.752406801,-87.633792381,"(41.752406801, -87.633792381)",1400000US1703117031691200
10000109,HY189966,03/18/2015 09:14:00 PM,086XX S EXCHANGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,DRIVEWAY - RESIDENTIAL,True,False,423,4,10,46,15,1197309.0,1848290.0,2015,02/10/2018 03:50:01 PM,41.738563465,-87.552678593,"(41.738563465, -87.552678593)",1400000US1703117031460301
10000110,HY190056,03/18/2015 10:50:00 PM,014XX S ASHLAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1233,12,2,28,08B,1165950.0,1893388.0,2015,02/10/2018 03:50:01 PM,41.86304084,-87.666288555,"(41.86304084, -87.666288555)",1400000US1703117031842900
10000111,HY190019,03/18/2015 10:31:00 PM,051XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,GAS STATION,True,False,1531,15,37,25,06,1141741.0,1904839.0,2015,02/10/2018 03:50:01 PM,41.894945606,-87.75487497700001,"(41.894945606, -87.754874977)",1400000US1703117031251600
10000112,HY189725,03/18/2015 12:55:00 PM,077XX S KINGSTON AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,421,4,7,43,05,1194535.0,1854110.0,2015,02/10/2018 03:50:01 PM,41.754602618,-87.562650741,"(41.754602618, -87.562650741)",1400000US1703117031431301
10000114,HY190071,03/18/2015 08:00:00 PM,024XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,False,False,1423,14,1,24,07,1159959.0,1910569.0,2015,02/10/2018 03:50:01 PM,41.910312648,-87.687806494,"(41.910312648, -87.687806494)",1400000US1703117031241100
10000115,HY190036,03/18/2015 09:00:00 PM,069XX S LOOMIS BLVD,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,False,False,734,7,17,67,06,1168192.0,1858832.0,2015,02/10/2018 03:50:01 PM,41.768167414000004,-87.659053795,"(41.768167414, -87.659053795)",1400000US1703117031671600
10000116,HY190063,03/18/2015 10:56:00 PM,105XX S LAFAYETTE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,True,False,512,5,34,49,24,1177790.0,1835106.0,2015,02/10/2018 03:50:01 PM,41.70284845,-87.624588931,"(41.70284845, -87.624588931)",1400000US1703117031491000
10000117,HY190068,03/18/2015 10:45:00 PM,087XX S KIMBARK AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,412,4,8,48,06,1186312.0,1847473.0,2015,02/10/2018 03:50:01 PM,41.736588206,-87.59299436,"(41.736588206, -87.59299436)",1400000US1703117031480200
10000118,HY190031,03/18/2015 10:00:00 PM,075XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,411,4,5,43,06,1188123.0,1855151.0,2015,02/10/2018 03:50:01 PM,41.757614433,-87.58611526600001,"(41.757614433, -87.586115266)",1400000US1703117031834200
10581023,HZ329792,09/01/2014 08:00:00 AM,0000X E LAKE ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER,True,False,111,1,42,32,12,,,2014,03/01/2018 03:52:35 PM,,,,
